Dsignator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0603_1608Metric,137.34,-90.5,90,bottom
C2,4.7uF,C_0402_1005Metric,146.53,-83.68,90,bottom
C3,0.22uF,C_0402_1005Metric,148.075,-85.7,0,bottom
C4,4.7uF,C_0402_1005Metric,144.22,-82.375,0,bottom
C5,0.22uF,C_0402_1005Metric,146.55,-86.105,270,bottom
C6,10uF,C_0603_1608Metric,132.8,-92.45,0,bottom
C7,22uF,C_0603_1608Metric,137.3,-86.47,270,bottom
C8,0.22uF,C_0402_1005Metric,148.55,-84.08,0,bottom
C9,0.22uF,C_0402_1005Metric,146.54,-88.43,270,bottom
C10,0.22uF,C_0402_1005Metric,143.805,-80.6,0,bottom
C11,0.22uF,C_0402_1005Metric,145.675,-81.78,270,bottom
C12,0.22uF,C_0402_1005Metric,144.55,-83.35,180,bottom
C13,0.22uF,C_0402_1005Metric,144.93,-88.48,270,bottom
C14,10uF,C_0603_1608Metric,141.55,-82.125,180,bottom
C15,0.22uF,C_0402_1005Metric,148.19,-87.8,270,bottom
C16,22uF,C_0603_1608Metric,144.115,-86.44,180,bottom
C17,0.22uF,C_0402_1005Metric,141.58,-80.85,180,bottom
C18,22uF,C_0603_1608Metric,144.1,-84.97,180,bottom
C19,10uF,C_0603_1608Metric,141.675,-79.125,180,bottom
C20,10uF,C_0603_1608Metric,130.375,-81.77,0,bottom
C21,22uF,C_0603_1608Metric,174.575,-86.65,270,bottom
C22,22uF,C_0603_1608Metric,130.21,-72.1,0,bottom
C23,0.22uF,C_0402_1005Metric,171.97,-77.05,180,bottom
C24,10uF,C_0603_1608Metric,145.125,-77.07,180,bottom
C25,0.22uF,C_0402_1005Metric,171.5,-84.23,90,bottom
C26,0.22uF,C_0402_1005Metric,149.71,-86.11,270,bottom
C27,0.22uF,C_0402_1005Metric,171.5,-86.125,90,bottom
C28,0.22uF,C_0402_1005Metric,148.73,-82.65,180,bottom
C29,0.22uF,C_0402_1005Metric,171.995,-80.25,180,bottom
C30,18pF,C_0402_1005Metric,138.9,-73,90,bottom
C31,0.22uF,C_0402_1005Metric,172.35,-82.33,270,bottom
C32,18pF,C_0402_1005Metric,144.7,-74.4,90,bottom
C33,0.22uF,C_0402_1005Metric,171.5,-74.945,90,bottom
C35,0.22uF,C_0402_1005Metric,171.995,-78.675,180,bottom
C36,0.22uF,C_0402_1005Metric,147.2,-81.78,270,bottom
C37,0.22uF,C_0402_1005Metric,165.445,-74.625,180,bottom
C38,0.22uF,C_0402_1005Metric,167.9,-84.825,0,bottom
C39,0.22uF,C_0402_1005Metric,170,-84.755,270,bottom
C44,0.1uF,C_0402_1005Metric,159.625,-81.33,90,bottom
C45,0.1uF,C_0402_1005Metric,155.8,-81.33,270,bottom
C46,2.2pF,C_0402_1005Metric,168.25,-79.42,270,bottom
C47,2.2pF,C_0402_1005Metric,169.025,-76.13,90,bottom
C51,0.22uF,C_0402_1005Metric,149.775,-88.55,90,bottom
C52,0.22uF,C_0402_1005Metric,151.725,-88.125,0,bottom
C53,0.22uF,C_0402_1005Metric,143.4,-88.17,90,bottom
C54,0.22uF,C_0402_1005Metric,149.345,-90.075,180,bottom
R1,10K,R_0402_1005Metric,168.085,-87.4,0,bottom
R3,10K,R_0402_1005Metric,174.3,-81.715,270,bottom
R4,240,R_0402_1005Metric,146.1,-75.09,90,bottom
R5,470,R_0402_1005Metric,169.425,-81.835,90,bottom
R6,1.5K,R_0402_1005Metric,158.625,-81.335,270,bottom
R7,1.5K,R_0402_1005Metric,156.8,-81.335,90,bottom
R8,240,R_0402_1005Metric,174.3,-83.75,270,bottom
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,141.8,-74.1,180,bottom
