Comment,Designator,Footprint,LCSC
22uF,"C1,C7,C16,C18,C21,C22",Capacitor_SMD:C_0603_1608Metric,C59461
10uF,"C6,C14,C19,C20",Capacitor_SMD:C_0603_1608Metric,C19702
4.7uF,"C2,C4",Capacitor_SMD:C_0402_1005Metric,C23733
0.22uF,"C3,C5,C8,C9,C10,C11,C12,C13,C15,C17,C23,C25,C27,C36,C37,C38,C39",Capacitor_SMD:C_0402_1005Metric,C16772
18pF,"C30,C32",Capacitor_SMD:C_0402_1005Metric,C1549
0.1uF,"C44,C45",Capacitor_SMD:C_0402_1005Metric,C1525
2.2pF,"C46,C47",Capacitor_SMD:C_0402_1005Metric,C1559
Micro_SD_Card,J1,Connector_Card:microSD_HC_Molex_104031-0811,
Conn_01x04,J2,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,
USB_A,J3,Connector_USB:USB_A_Molex_67643_Horizontal,
10K,"R1,R3",Resistor_SMD:R_0402_1005Metric,C25744
240,"R4,R8",Resistor_SMD:R_0402_1005Metric,C25094
470,R5,Resistor_SMD:R_0402_1005Metric,C25792
1.5K,"R6,R7",Resistor_SMD:R_0402_1005Metric,C25867
IMX6UL_BGA289,U1,Custom Components:IMX6UL_BGA289, C414042
DDR3_BGA96,U2,Custom Components:DDR3_BGA96,C36513
AZ1117H-3.3,U3,Package_TO_SOT_SMD:SOT-223,C110474
AZ1117C-1.5,U4,Package_TO_SOT_SMD:SOT-223,C92108
Crystal_GND24,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm, C91744
